Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
EP,2/27/2019,2019,EP 16151175 A,PRECISION AGRICULTURE SYSTEM,,ACCENTURE GLOBAL SERVICES LTD,MATHUR ANKUR;;BARSAMIAN PAUL M;;GARRISON DANIEL P;;MULLAN PRAMILA;;MENDEZ JUAN C,,Granted Patent,G06Q50/02;;G06N20/00;;G06Q50/02;;G01C11/025;;G01N33/0098;;Y02A40/10;;G06N20/00;;A01B79/005;;G01N33/0098;;G01N33/24;;G06N20/00;;G06Q50/02;;G01C11/025;;G06F30/00;;Y02A40/10;;G06N7/01;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00,G06Q50/02,ACTIVE,,,,
US,3/3/2022,2022,US 202117445928 A,ACCESSING AGRICULTURE PRODUCTIVITY AND SUSTAINABILITY,"An integrated multi-scale modeling platform is utilized to assess agricultural productivity and sustainability. The model is used to assess the environmental impacts of agricultural management from individual fields to watershed/basin to continental scales. In addition, an integrated irrigation system is developed using data and a machine-learning model that includes weather forecast and soil moisture simulation to determine an irrigation amount for farmers. Next, crop cover classification prediction can be established for an ongoing growing system using a machine learning or statistical model to predict the planted crop type in an area. Finally, a method of predicting key phenology dates of crops for individual field parcels, farms, or parts of a field parcel, in a growing season, can be established.",UNIV ILLINOIS,GUAN KAIYU;;PENG BIN;;JIANG CHONGYA;;ZHOU WANG;;ZHANG JINGWEN;;HUANG YIZHI;;PENG JIAN;;WANG SIBO,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS (2021-09-01),Patent Application,G06N3/084;;A01G7/00;;Y02A40/22;;A01B69/001;;G06N3/044;;A01G25/16;;G06N20/00;;A01B79/005,A01G25/16;;A01B79/00;;G06N20/00,PENDING,,,,
US,5/1/2018,2018,US 201615149888 A,Precision agriculture system,"A device may receive sensor data from a sensor device located on a particular farm. The device may identify an alert, associated with the particular farm, based on the sensor data and using a model. The model may be created based on imagery data and numeric data relating to a group of farms. The device may determine, using the model, a recommended course of action to address the alert, and provide, to a user device associated with the particular farm, the recommended course of action.",ACCENTURE GLOBAL SERVICES LTD,MATHUR ANKUR;;BARSAMIAN PAUL M;;GARRISON DANIEL P;;MULLAN PRAMILA;;MENDEZ JUAN C,ACCENTURE GLOBAL SERVICES LIMITED (2015-03-14),Granted Patent,G06Q50/02;;G06N20/00;;G06Q50/02;;G01C11/025;;G01N33/0098;;Y02A40/10;;G06N20/00;;A01B79/005;;G01N33/0098;;G01N33/24;;G06N20/00;;G06Q50/02;;G01C11/025;;G06F30/00;;Y02A40/10;;G06N7/01;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00,G06Q50/02;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00;;G01N33/00;;G01N33/24;;G06F17/50;;G06N7/00;;G06N99/00,ACTIVE,,,,
US,11/19/2020,2020,US 202016875842 A,METHODS AND SYSTEMS FOR CROP PEST MANAGEMENT UTILIZING GEOSPATIAL IMAGES AND MICROCLIMATE DATA,"Systems and methods for predicting pest susceptibility, comprising steps to receive geocoded geospatial image data of a crop field from sensors, receive microclimate data of the crop field, determine a crop vigor map for the crop field, and then generate a pest susceptibility map utilizing a risk model based on the crop vigor map and the microclimate data. The pest susceptibility map comprises a measure of a susceptibility of a crop in the crop field to one or more crop pests at one or more locations. In some embodiments, the method also comprises steps to generate a treatment plan (e.g., pesticide application) and to estimate an anticipated return on investment (ROI). The system therefore leverages remote-sensed data, machine data, analytics, and machine learning to enable farmers to predict, prevent, and control the outbreak of crop pests to greatest economic effect. Such a system addresses a fundamental problem in agriculture.",CERES IMAGING INC,STUEVE KIRK;;ROGERS BARCLAY,CERES IMAGING INC (2020-04-24),Patent Application,A01M99/00;;G06T7/0004;;G06T2207/10036;;G06T2207/20081;;G06T2207/20084;;G06T2207/30188;;G06Q10/04;;G06Q50/02;;G06V20/188;;G06V10/82;;G06V10/764;;G06F18/24323;;G06T7/001;;A01M99/00;;A01G25/16;;G06T2207/20084;;G06T2207/20081;;G06T2207/10036;;G06T2207/30188;;G06V10/764;;G06V10/82;;G06V20/188,G06T7/00;;A01G25/16;;A01M99/00,ACTIVE,,,,
EP,1/31/2018,2018,EP 16386015 A,PRECISION AGRICULTURE SYSTEM,"A device may receive first information associated with an emergence area. The first information may include imagery data of the emergence area. The device may determine an expected commodity quantity value based on the first information. The device may determine an actual commodity quantity value based on the imagery data. The device may determine an emergence value, associated with the emergence area, based on the expected commodity quantity value and the actual commodity quantity value. The device may receive second information associated with a commodity, and may determine one or more conditions based on the second information and the emergence value. The device may determine a recommendation based on the one or more conditions, and may provide the recommendation to permit and/or cause an action to be performed in association with the emergence area.",ACCENTURE GLOBAL SOLUTIONS LTD,KOUTSORODI ARTEMIS;;LOKANATHAN BADRI;;MATHUR ANKUR;;WEBBER BRANDON;;SPATA GREGORY P;;BARSAMIAN PAUL M;;GONZALEZ ADALBERTO,,Patent Application,G06Q10/04;;G06Q50/02;;Y02A40/10;;A01B79/005;;A01C21/005;;G06Q50/02;;G06Q10/04;;Y02A40/10;;A01B79/005;;A01C21/005;;G01S19/14;;G05B19/042;;G05B2219/2625;;G05D11/00,G06Q10/04;;G06Q50/02,PENDING,,,,
WO,6/23/2022,2022,US 2021/0064233 W,ROBOT FLEET MANAGEMENT AND ADDITIVE MANUFACTURING FOR VALUE CHAIN NETWORKS,A value chain network automation system includes a supply chain robotic fleet data set including attributes of a set of states and capabilities of a set of robotic systems in a supply chain for a set of goods. The system includes a demand intelligence robotic process automation data set including attributes of a set of states of a set of robotic process automation systems that undertake automation of a set of demand forecasting tasks for the set of goods. The system includes a coordination system that provides a set of robotic task instructions for the supply chain robotic fleet based on processing the supply chain robotic fleet data set and the demand intelligence robotic process automation data set to coordinate supply and demand for the set of goods.,STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES H;;BLIVEN BRENT;;KELL BRAD;;EL-TAHRY TEYMOUR S;;CARDNO ANDREW;;MARINKOVICH SAVA;;DOBROWITSKY JOSHUA;;FORTIN LEON;;SHARMA KUNAL,,Patent Application,G06Q10/06313;;G05B19/41865;;G05B2219/35134;;G05B2219/49023;;G05B13/0265;;G05B13/042;;G05B19/4097;;G05B19/4099;;G06N20/00;;G06N20/10;;G06N5/025;;G06Q10/06395;;G06Q50/04;;G06Q10/06311;;G06Q10/0633;;Y02P80/10;;Y02P90/02;;Y02P80/40;;Y02P90/30;;Y02P90/84;;G02B3/14;;G06N20/00;;B25J9/1671;;G05B2219/40113;;B33Y50/02;;B29C64/357;;B22F10/85;;B29C64/10;;B29C64/393;;B29C64/379;;B33Y10/00;;B33Y40/00;;B22F10/70;;B22F2998/00;;G06Q10/087,G06Q10/06;;B29C64/386;;G02B3/14;;G05B13/02;;G05B13/04;;G05B19/4097;;G05B19/4099;;G05B19/418;;G06N3/02;;G06N5/02;;G06N20/00;;G06Q50/04;;G06T7/70;;G06T7/80;;G06V10/70,PENDING,,,,
US,11/24/2020,2020,US 201816224301 A,Utilizing artificial intelligence with captured images to detect agricultural failure,"A device receives images of a field on a farm, and filters the images of the field to generate filtered images. The device isolates planting lanes in the filtered images, where the planting lanes include lanes formed by crops in the field, and the planting lanes are isolated via a masking technique or a sliding windows technique. The device identifies plant gaps in the planting lanes, where the plant gaps correspond to portions of the planting lanes that are missing crops, the plant gaps are identified based on a heat map when the masking technique is utilized to isolate the planting lanes, and the plant gaps are identified based on sliding windows when the sliding windows technique is utilized to isolate the planting lanes. The device superimposes the plant gaps over the images to generate a visual representation of stressed areas in the field, and performs an action based on the visual representation of the stressed areas.",ACCENTURE GLOBAL SOLUTIONS LTD,GONZALEZ ADALBERTO;;LOKANATHAN BADRI;;KOUTSORODI ARTEMIS;;MATHUR ANKUR;;WEBBER BRANDON,ACCENTURE GLOBAL SOLUTIONS LIMITED (2018-11-26),Granted Patent,G06T2207/10032;;G06T2207/30188;;G06T7/11;;G06Q50/02;;G06Q10/06315;;G06Q10/0635;;G06V20/188;;G06V10/48;;G06V10/44;;G06V20/17;;G06T7/0008;;G06Q50/02;;G06Q10/06315;;G06Q10/0635;;G06T7/11;;G06T2207/10032;;G06T2207/30188;;G06V10/44;;G06V10/48;;G06V20/188;;G06V20/17,G06T7/00;;G06K9/00;;G06K9/46;;G06Q10/06;;G06Q50/02;;G06T7/11,ACTIVE,,,,
EP,6/26/2019,2019,EP 17386050 A,UTILIZING ARTIFICIAL INTELLIGENCE WITH CAPTURED IMAGES TO DETECT AGRICULTURAL FAILURE,"A device receives images of a field on a farm, and filters the images of the field to generate filtered images. The device isolates planting lanes in the filtered images, where the planting lanes include lanes formed by crops in the field, and the planting lanes are isolated via a masking technique or a sliding windows technique. The device identifies plant gaps in the planting lanes, where the plant gaps correspond to portions of the planting lanes that are missing crops, the plant gaps are identified based on a heat map when the masking technique is utilized to isolate the planting lanes, and the plant gaps are identified based on sliding windows when the sliding windows technique is utilized to isolate the planting lanes. The device superimposes the plant gaps over the images to generate a visual representation of stressed areas in the field, and performs an action based on the visual representation of the stressed areas.",ACCENTURE GLOBAL SOLUTIONS LTD,GONZALEZ ADALBERTO;;LOKANATHAN BADRI;;KOUTSORODI ARTEMIS;;MATHUR ANKUR;;WEBBER BRANDON,,Patent Application,G06T2207/10032;;G06T2207/30188;;G06T7/11;;G06Q50/02;;G06Q10/06315;;G06Q10/0635;;G06V20/188;;G06V10/48;;G06V10/44;;G06V20/17;;G06T7/0008;;G06Q50/02;;G06Q10/06315;;G06Q10/0635;;G06T7/11;;G06T2207/10032;;G06T2207/30188;;G06V10/44;;G06V10/48;;G06V20/188;;G06V20/17,G06T7/11;;G06K9/00;;G06K9/46,ACTIVE,,,,
US,6/20/2019,2019,US 201816224301 A,UTILIZING ARTIFICIAL INTELLIGENCE WITH CAPTURED IMAGES TO DETECT AGRICULTURAL FAILURE,"A device receives images of a field on a farm, and filters the images of the field to generate filtered images. The device isolates planting lanes in the filtered images, where the planting lanes include lanes formed by crops in the field, and the planting lanes are isolated via a masking technique or a sliding windows technique. The device identifies plant gaps in the planting lanes, where the plant gaps correspond to portions of the planting lanes that are missing crops, the plant gaps are identified based on a heat map when the masking technique is utilized to isolate the planting lanes, and the plant gaps are identified based on sliding windows when the sliding windows technique is utilized to isolate the planting lanes. The device superimposes the plant gaps over the images to generate a visual representation of stressed areas in the field, and performs an action based on the visual representation of the stressed areas.",ACCENTURE GLOBAL SOLUTIONS LTD,GONZALEZ ADALBERTO;;LOKANATHAN BADRI;;KOUTSORODI ARTEMIS;;MATHUR ANKUR;;WEBBER BRANDON,ACCENTURE GLOBAL SOLUTIONS LIMITED (2018-11-26),Patent Application,G06T2207/10032;;G06T2207/30188;;G06T7/11;;G06Q50/02;;G06Q10/06315;;G06Q10/0635;;G06V20/188;;G06V10/48;;G06V10/44;;G06V20/17;;G06T7/0008;;G06Q50/02;;G06Q10/06315;;G06Q10/0635;;G06T7/11;;G06T2207/10032;;G06T2207/30188;;G06V10/44;;G06V10/48;;G06V20/188;;G06V20/17,G06T7/00;;G06K9/00;;G06Q10/06,ACTIVE,,,,
US,2/1/2018,2018,US 201715627942 A,PRECISION AGRICULTURE SYSTEM,"A device may receive first information associated with an emergence area. The first information may include imagery data of the emergence area. The device may determine an expected commodity quantity value based on the first information. The device may determine an actual commodity quantity value based on the imagery data. The device may determine an emergence value, associated with the emergence area, based on the expected commodity quantity value and the actual commodity quantity value. The device may receive second information associated with a commodity, and may determine one or more conditions based on the second information and the emergence value. The device may determine a recommendation based on the one or more conditions, and may provide the recommendation to permit and/or cause an action to be performed in association with the emergence area.",ACCENTURE GLOBAL SOLUTIONS LTD,KOUTSORODI ARTEMIS;;LOKANATHAN BADRI;;MATHUR ANKUR;;WEBBER BRANDON;;SPATA GREGORY P;;BARSAMIAN PAUL M;;GONZALEZ AYALA ADALBERTO,ACCENTURE GLOBAL SOLUTIONS LIMITED (2017-06-13),Patent Application,G06Q10/04;;G06Q50/02;;Y02A40/10;;A01B79/005;;A01C21/005;;G06Q50/02;;G06Q10/04;;Y02A40/10;;A01B79/005;;A01C21/005;;G01S19/14;;G05B19/042;;G05B2219/2625;;G05D11/00,A01B79/00;;A01C21/00;;G01C21/00;;G01S19/14;;G05B19/042;;G05D11/00,ACTIVE,,,,
US,2/4/2020,2020,US 201715627942 A,Precision agriculture system,"A device may receive first information associated with an emergence area. The first information may include imagery data of the emergence area. The device may determine an expected commodity quantity value based on the first information. The device may determine an actual commodity quantity value based on the imagery data. The device may determine an emergence value, associated with the emergence area, based on the expected commodity quantity value and the actual commodity quantity value. The device may receive second information associated with a commodity, and may determine one or more conditions based on the second information and the emergence value. The device may determine a recommendation based on the one or more conditions, and may provide the recommendation to permit and/or cause an action to be performed in association with the emergence area.",ACCENTURE GLOBAL SOLUTIONS LTD,KOUTSORODI ARTEMIS;;LOKANATHAN BADRI;;MATHUR ANKUR;;WEBBER BRANDON;;SPATA GREGORY P;;BARSAMIAN PAUL M;;GONZALEZ AYALA ADALBERTO,ACCENTURE GLOBAL SOLUTIONS LIMITED (2017-06-13),Granted Patent,G06Q10/04;;G06Q50/02;;Y02A40/10;;A01B79/005;;A01C21/005;;G06Q50/02;;G06Q10/04;;Y02A40/10;;A01B79/005;;A01C21/005;;G01S19/14;;G05B19/042;;G05B2219/2625;;G05D11/00,A01B79/00;;A01C21/00;;G01C21/00;;G01S19/14;;G01S19/39;;G05B19/042;;G05D11/00;;G06Q10/04;;G06Q50/02,ACTIVE,,,,
WO,12/23/2021,2021,GB 2021051535 W,SYSTEM AND METHOD FOR CROP MONITORING,"Disclosed is a method of automated crop monitoring based on the processing and analysis of a large number of high resolution aerial images that map an area of interest using computer vision and machine learning techniques. The method comprises receiving 120 or retrieving image data containing a plurality of high resolution images of crops in an area of interest for monitoring, identifying 130 one or more crop features of each crop in each image, determining 140, for each identified crop feature, one or more crop feature attributes, and generating or determining 160 one or more crop monitoring outputs based, at least in part, on the crop features and crop feature attributes. Also disclosed is a method generating field camera specific training data for the machine learning model used to analyse the received image data.",DARK HORSE TECH LTD,BAINBRIDGE JARED;;WHITTLE GRANT,,Patent Application,A01B79/005;;G06V10/58;;G06V20/188;;G06F18/24137;;G06F18/214;;G06V20/188;;G01N33/0098;;G06N3/08;;G06Q50/02;;G06V20/188;;G06V10/58,G06K9/00;;A01B79/00;;G06K9/62;;G06Q50/02,PENDING,,,,
